date,view,contractual_cumulative_cents,collected_expected_cumulative_cents,collected_p5_cents,collected_p50_cents,collected_p95_cents,outstanding_principal_expected_cents
2025-01-27,event_adjusted,207400000,207400000,207400000,207400000,207400000,0
2025-01-28,event_adjusted,207400000,207400000,207400000,207400000,207400000,0
2025-01-29,event_adjusted,207400000,207400000,207400000,207400000,207400000,0
2025-01-30,event_adjusted,207400000,207400000,207400000,207400000,207400000,0
2025-01-31,event_adjusted,207400000,207400000,207400000,207400000,207400000,0
2025-02-01,event_adjusted,207400000,207400000,207400000,207400000,207400000,0
2025-02-02,event_adjusted,207400000,207400000,207400000,207400000,207400000,0
2025-02-03,event_adjusted,207400000,207400000,207400000,207400000,207400000,0
2025-02-04,event_adjusted,207400000,207400000,207400000,207400000,207400000,0
2025-02-05,event_adjusted,207400000,207400000,207400000,207400000,207400000,0
2025-02-06,event_adjusted,207400000,207400000,207400000,207400000,207400000,0
2025-02-07,event_adjusted,207400000,207400000,207400000,207400000,207400000,0
2025-02-08,event_adjusted,207400000,207400000,207400000,207400000,207400000,0
2025-02-09,event_adjusted,207400000,207400000,207400000,207400000,207400000,0
2025-02-10,event_adjusted,207400000,207400000,207400000,207400000,207400000,0
2025-02-11,event_adjusted,207400000,207400000,207400000,207400000,207400000,0
2025-02-12,event_adjusted,207400000,207400000,207400000,207400000,207400000,0
2025-02-13,event_adjusted,207400000,207400000,207400000,207400000,207400000,0
2025-02-14,event_adjusted,207400000,207400000,207400000,207400000,207400000,0
2025-02-15,event_adjusted,207400000,207400000,207400000,207400000,207400000,0
